Time,Time Code,Name,Code,GDP
2022,YR2022,Afghanistan,AFG,..
2022,YR2022,Albania,ALB,18916378860.5488
2022,YR2022,Algeria,DZA,194998449769.085
2022,YR2022,American Samoa,ASM,871000000
2022,YR2022,Andorra,AND,3352031094.22914
2022,YR2022,Angola,AGO,106782770714.619
2022,YR2022,Antigua and Barbuda,ATG,1867733333.33333
2022,YR2022,Argentina,ARG,631133384439.944
2022,YR2022,Armenia,ARM,19513474648.2429
2022,YR2022,Aruba,ABW,3544707788.05664
2022,YR2022,Australia,AUS,1692956646855.7
2022,YR2022,Austria,AUT,470941926750.741
2022,YR2022,Azerbaijan,AZE,78721058823.5294
2022,YR2022,"Bahamas, The",BHS,12897400000
2022,YR2022,Bahrain,BHR,44383297872.3404
2022,YR2022,Bangladesh,BGD,460201265527.977
2022,YR2022,Barbados,BRB,5699950000
2022,YR2022,Belarus,BLR,72793457588.4367
2022,YR2022,Belgium,BEL,583435595579.963
2022,YR2022,Belize,BLZ,2830507575.6841
2022,YR2022,Benin,BEN,17396792699.5489
2022,YR2022,Bermuda,BMU,7546000000
2022,YR2022,Bhutan,BTN,..
2022,YR2022,Bolivia,BOL,44008282877.9606
2022,YR2022,Bosnia and Herzegovina,BIH,24473906673.7086
2022,YR2022,Botswana,BWA,20355541962.8512
2022,YR2022,Brazil,BRA,1920095779022.73
2022,YR2022,British Virgin Islands,VGB,..
2022,YR2022,Brunei Darussalam,BRN,16681536466.7183
2022,YR2022,Bulgaria,BGR,90346169914.9349
2022,YR2022,Burkina Faso,BFA,18820064797.8379
2022,YR2022,Burundi,BDI,3338722827.66241
2022,YR2022,Cabo Verde,CPV,2226862134.08787
2022,YR2022,Cambodia,KHM,29504829319.3169
2022,YR2022,Cameroon,CMR,43644068310.851
2022,YR2022,Canada,CAN,2161483369422.01
2022,YR2022,Cayman Islands,CYM,6844827379.30952
2022,YR2022,Central African Republic,CAF,2382618615.01694
2022,YR2022,Chad,TCD,12704149840.2283
2022,YR2022,Channel Islands,CHI,..
2022,YR2022,Chile,CHL,301024724911.923
2022,YR2022,China,CHN,17963171479205.3
2022,YR2022,Colombia,COL,343622114560.409
2022,YR2022,Comoros,COM,1242519407.27815
2022,YR2022,"Congo, Dem. Rep.",COD,64718641221.216
2022,YR2022,"Congo, Rep.",COG,15816996654.5788
2022,YR2022,Costa Rica,CRI,69243626028.6696
2022,YR2022,Cote d'Ivoire,CIV,70018715016.8293
2022,YR2022,Croatia,HRV,71600049650.195
2022,YR2022,Cuba,CUB,..
2022,YR2022,Curacao,CUW,3075180834.72417
2022,YR2022,Cyprus,CYP,29250524418.0855
2022,YR2022,Czechia,CZE,290565654835.809
2022,YR2022,Denmark,DNK,400167196948.707
2022,YR2022,Djibouti,DJI,3515108859.95465
2022,YR2022,Dominica,DMA,607440740.740741
2022,YR2022,Dominican Republic,DOM,113537368176.13
2022,YR2022,Ecuador,ECU,115049476000
2022,YR2022,"Egypt, Arab Rep.",EGY,476747720364.742
2022,YR2022,El Salvador,SLV,32488720000
2022,YR2022,Equatorial Guinea,GNQ,12029633746.519
2022,YR2022,Eritrea,ERI,..
2022,YR2022,Estonia,EST,38100812958.5196
2022,YR2022,Eswatini,SWZ,4790922065.6101
2022,YR2022,Ethiopia,ETH,126783471597.671
2022,YR2022,Faroe Islands,FRO,3555929833.05051
2022,YR2022,Fiji,FJI,4979979546.0123
2022,YR2022,Finland,FIN,282649838009.729
2022,YR2022,France,FRA,2779092236505.85
2022,YR2022,French Polynesia,PYF,5814661208.90544
2022,YR2022,Gabon,GAB,21071739224.8918
2022,YR2022,"Gambia, The",GMB,2187194563.48605
2022,YR2022,Georgia,GEO,24780791063.7131
2022,YR2022,Germany,DEU,4082469490797.68
2022,YR2022,Ghana,GHA,73766052451.5256
2022,YR2022,Gibraltar,GIB,..
2022,YR2022,Greece,GRC,217581324512.059
2022,YR2022,Greenland,GRL,..
2022,YR2022,Grenada,GRD,1215379155.67282
2022,YR2022,Guam,GUM,..
2022,YR2022,Guatemala,GTM,95003330315.8754
2022,YR2022,Guinea,GIN,20999229260.4955
2022,YR2022,Guinea-Bissau,GNB,1633559092.08861
2022,YR2022,Guyana,GUY,14718388489.2086
2022,YR2022,Haiti,HTI,20253551884.6055
2022,YR2022,Honduras,HND,31717699764.3621
2022,YR2022,"Hong Kong SAR, China",HKG,359838583490.063
2022,YR2022,Hungary,HUN,177337436677.365
2022,YR2022,Iceland,ISL,28064529851.3098
2022,YR2022,India,IND,3416645826052.87
2022,YR2022,Indonesia,IDN,1319100220407.72
2022,YR2022,"Iran, Islamic Rep.",IRN,413493207349.265
2022,YR2022,Iraq,IRQ,264182173793.103
2022,YR2022,Ireland,IRL,533140011838.276
2022,YR2022,Isle of Man,IMN,..
2022,YR2022,Israel,ISR,525002447652.773
2022,YR2022,Italy,ITA,2049737165407.98
2022,YR2022,Jamaica,JAM,17097760723.9201
2022,YR2022,Japan,JPN,4256410760723.75
2022,YR2022,Jordan,JOR,48653381780.6397
2022,YR2022,Kazakhstan,KAZ,225496328925.494
2022,YR2022,Kenya,KEN,113420008178.793
2022,YR2022,Kiribati,KIR,223353014.294593
2022,YR2022,"Korea, Dem. People's Rep.",PRK,..
2022,YR2022,"Korea, Rep.",KOR,1673916469026.56
2022,YR2022,Kosovo,XKX,9409473517.95304
2022,YR2022,Kuwait,KWT,175363265306.122
2022,YR2022,Kyrgyz Republic,KGZ,11543966558.842
2022,YR2022,Lao PDR,LAO,15468785203.7532
2022,YR2022,Latvia,LVA,40932030049.5644
2022,YR2022,Lebanon,LBN,..
2022,YR2022,Lesotho,LSO,2236502124.16956
2022,YR2022,Liberia,LBR,4001046970
2022,YR2022,Libya,LBY,45752336035.9846
2022,YR2022,Liechtenstein,LIE,..
2022,YR2022,Lithuania,LTU,70974490450.4944
2022,YR2022,Luxembourg,LUX,81641807865.7591
2022,YR2022,"Macao SAR, China",MAC,24042287326.5729
2022,YR2022,Madagascar,MDG,15297192798.9771
2022,YR2022,Malawi,MWI,13164667626.9363
2022,YR2022,Malaysia,MYS,407027451714.616
2022,YR2022,Maldives,MDV,6170638746.965
2022,YR2022,Mali,MLI,18827176529.6983
2022,YR2022,Malta,MLT,18125564514.2664
2022,YR2022,Marshall Islands,MHL,258774475.097656
2022,YR2022,Mauritania,MRT,9780863578.97688
2022,YR2022,Mauritius,MUS,12948726653.811
2022,YR2022,Mexico,MEX,1465854089286.47
2022,YR2022,"Micronesia, Fed. Sts.",FSM,424000000
2022,YR2022,Moldova,MDA,14508333280.4233
2022,YR2022,Monaco,MCO,8784002931.68665
2022,YR2022,Mongolia,MNG,17146471626.3963
2022,YR2022,Montenegro,MNE,6229801580.79157
2022,YR2022,Morocco,MAR,130912558829.84
2022,YR2022,Mozambique,MOZ,18406835954.6695
2022,YR2022,Myanmar,MMR,62263466263.7375
2022,YR2022,Namibia,NAM,12914932655.685
2022,YR2022,Nauru,NRU,151647846.128953
2022,YR2022,Nepal,NPL,40828247303.5337
2022,YR2022,Netherlands,NLD,1009398719033.08
2022,YR2022,New Caledonia,NCL,9623318718.31459
2022,YR2022,New Zealand,NZL,248101705541.399
2022,YR2022,Nicaragua,NIC,15671583939.9889
2022,YR2022,Niger,NER,15342278919.4009
2022,YR2022,Nigeria,NGA,472624597402.898
2022,YR2022,North Macedonia,MKD,13563132102.1663
2022,YR2022,Northern Mariana Islands,MNP,..
2022,YR2022,Norway,NOR,593348981537.661
2022,YR2022,Oman,OMN,114667360208.062
2022,YR2022,Pakistan,PAK,374697366359.244
2022,YR2022,Palau,PLW,..
2022,YR2022,Panama,PAN,76522511800
2022,YR2022,Papua New Guinea,PNG,31603619041.7903
2022,YR2022,Paraguay,PRY,41722295229.2279
2022,YR2022,Peru,PER,242631573320.79
2022,YR2022,Philippines,PHL,404284326110.463
2022,YR2022,Poland,POL,688125010520.52
2022,YR2022,Portugal,PRT,255196660987.427
2022,YR2022,Puerto Rico,PRI,113434800000
2022,YR2022,Qatar,QAT,236258302839.653
2022,YR2022,Romania,ROU,300691354864.855
2022,YR2022,Russian Federation,RUS,2240422427458.58
2022,YR2022,Rwanda,RWA,13311487445.0686
2022,YR2022,Samoa,WSM,832945205.637185
2022,YR2022,San Marino,SMR,..
2022,YR2022,Sao Tome and Principe,STP,542686976.457587
2022,YR2022,Saudi Arabia,SAU,1108571517285.38
2022,YR2022,Senegal,SEN,27684264748.2324
2022,YR2022,Serbia,SRB,63563401043.5044
2022,YR2022,Seychelles,SYC,1588438144.37685
2022,YR2022,Sierra Leone,SLE,4094563859.43556
2022,YR2022,Singapore,SGP,466788426791.966
2022,YR2022,Sint Maarten (Dutch part),SXM,1537088724.46126
2022,YR2022,Slovak Republic,SVK,115461711688.965
2022,YR2022,Slovenia,SVN,60063475466.3446
2022,YR2022,Solomon Islands,SLB,1597204340.62902
2022,YR2022,Somalia,SOM,10419541202.0382
2022,YR2022,South Africa,ZAF,405270850099.387
2022,YR2022,South Sudan,SSD,..
2022,YR2022,Spain,ESP,1417800466262.65
2022,YR2022,Sri Lanka,LKA,74403578363.4355
2022,YR2022,St. Kitts and Nevis,KNA,965638864.921867
2022,YR2022,St. Lucia,LCA,2343703703.7037
2022,YR2022,St. Martin (French part),MAF,..
2022,YR2022,St. Vincent and the Grenadines,VCT,948559259.259259
2022,YR2022,Sudan,SDN,51662241775.0629
2022,YR2022,Suriname,SUR,3620987993.32637
2022,YR2022,Sweden,SWE,591718144602.141
2022,YR2022,Switzerland,CHE,818426550206.45
2022,YR2022,Syrian Arab Republic,SYR,..
2022,YR2022,Tajikistan,TJK,10492123387.7931
2022,YR2022,Tanzania,TZA,75732311666.039
2022,YR2022,Thailand,THA,495423343049.622
2022,YR2022,Timor-Leste,TLS,3204753000
2022,YR2022,Togo,TGO,8341225241.45693
2022,YR2022,Tonga,TON,..
2022,YR2022,Trinidad and Tobago,TTO,30053575132.142
2022,YR2022,Tunisia,TUN,46303552449.3542
2022,YR2022,Turkiye,TUR,907118435952.688
2022,YR2022,Turkmenistan,TKM,56542857142.8571
2022,YR2022,Turks and Caicos Islands,TCA,1138808881.1
2022,YR2022,Tuvalu,TUV,59065979.0227679
2022,YR2022,Uganda,UGA,45567304608.4764
2022,YR2022,Ukraine,UKR,160502737251.047
2022,YR2022,United Arab Emirates,ARE,507063968273.313
2022,YR2022,United Kingdom,GBR,3089072722400.14
2022,YR2022,United States,USA,25439700000000
2022,YR2022,Uruguay,URY,71177146197.4951
2022,YR2022,Uzbekistan,UZB,80391853887.4049
2022,YR2022,Vanuatu,VUT,1055811723.74753
2022,YR2022,"Venezuela, RB",VEN,..
2022,YR2022,Viet Nam,VNM,408802378904.838
2022,YR2022,Virgin Islands (U.S.),VIR,..
2022,YR2022,West Bank and Gaza,PSE,19111900000
2022,YR2022,"Yemen, Rep.",YEM,..
2022,YR2022,Zambia,ZMB,29163782138.3415
2022,YR2022,Zimbabwe,ZWE,27366627153.0852
2022,YR2022,Africa Eastern and Southern,AFE,1185137703650.99
2022,YR2022,Africa Western and Central,AFW,875393693658.084
2022,YR2022,Arab World,ARB,3543339785308.86
2022,YR2022,Caribbean small states,CSS,94867024971.9129
2022,YR2022,Central Europe and the Baltics,CEB,1944198197077.57
2022,YR2022,Early-demographic dividend,EAR,14148420366435.9
2022,YR2022,East Asia & Pacific,EAS,30712490177155.8
2022,YR2022,East Asia & Pacific (excluding high income),EAP,21193771562304.2
2022,YR2022,East Asia & Pacific (IDA & IBRD countries),TEA,21167325456079.4
2022,YR2022,Euro area,EMU,14207593902747.6
