Year,Country,Exports
1960,Brazil,10
1960,Brazil,0
1962,Brazil,53
1963,Brazil,715
1964,Brazil,27
1965,Brazil,635
1966,Brazil,599
1967,Brazil,665
1968,Brazil,1135
1969,Brazil,554
1970,Brazil,2036
1971,Brazil,593
1972,Brazil,137
1973,Brazil,27
1974,Brazil,1424
1975,Brazil,1353
1976,Brazil,1337
1977,Brazil,950
1978,Brazil,0
1979,Brazil,0
1980,Brazil,0
1981,Brazil,700
1982,Brazil,450
1983,Brazil,300
1984,Brazil,56
1985,Brazil,0
1986,Brazil,0
1987,Brazil,0
1988,Brazil,0
1989,Brazil,0
1990,Brazil,0
1991,Brazil,0
1992,Brazil,9
1993,Brazil,4
1994,Brazil,54
1995,Brazil,217
1996,Brazil,357
1997,Brazil,6
1998,Brazil,8
1999,Brazil,7
2000,Brazil,3744
2001,Brazil,3857
2002,Brazil,3181
2003,Brazil,5818
2004,Brazil,1431
2005,Brazil,2826
2006,Brazil,8071
2007,Brazil,7883
2008,Brazil,7178
2009,Brazil,8623
2010,Brazil,11582
2011,Brazil,12674
2012,Brazil,26044
2013,Brazil,22041
2014,Brazil,21909
2015,Brazil,35382
2016,Brazil,19794
2017,Brazil,25116
2018,Brazil,38773
2019,Brazil,34137
2020,Brazil,27492
2021,Brazil,31921
2022,Brazil,53285
2023,Brazil,52000
1960,United States,6326
1960,United States,9922
1962,United States,10195
1963,United States,11558
1964,United States,13080
1965,United States,16988
1966,United States,12547
1967,United States,14515
1968,United States,12980
1969,United States,15872
1970,United States,13078
1971,United States,16719
1972,United States,28892
1973,United States,34853
1974,United States,28384
1975,United States,39590
1976,United States,42774
1977,United States,49479
1978,United States,54180
1979,United States,61801
1980,United States,59420
1981,United States,49640
1982,United States,47160
1983,United States,46932
1984,United States,46427
1985,United States,31147
1986,United States,39330
1987,United States,43978
1988,United States,50512
1989,United States,60034
1990,United States,44575
1991,United States,40686
1992,United States,42572
1993,United States,33106
1994,United States,58689
1995,United States,52753
1996,United States,46711
1997,United States,37789
1998,United States,52030
1999,United States,49493
2000,United States,48329
2001,United States,47271
2002,United States,40924
2003,United States,48809
2004,United States,45347
2005,United States,56084
2006,United States,54214
2007,United States,60663
2008,United States,47758
2009,United States,49696
2010,United States,45162
2011,United States,38342
2012,United States,18262
2013,United States,50691
2014,United States,46831
2015,United States,51056
2016,United States,55618
2017,United States,63657
2018,United States,49297
2019,United States,47035
2020,United States,68293
2021,United States,62978
2022,United States,42833
2023,United States,54000
1960,Ukraine,
1960,Ukraine,
1962,Ukraine,
1963,Ukraine,
1964,Ukraine,
1965,Ukraine,
1966,Ukraine,
1967,Ukraine,
1968,Ukraine,
1969,Ukraine,
1970,Ukraine,
1971,Ukraine,
1972,Ukraine,
1973,Ukraine,
1974,Ukraine,
1975,Ukraine,
1976,Ukraine,
1977,Ukraine,
1978,Ukraine,
1979,Ukraine,
1980,Ukraine,
1981,Ukraine,
1982,Ukraine,
1983,Ukraine,
1984,Ukraine,
1985,Ukraine,
1986,Ukraine,
1987,Ukraine,1500
1988,Ukraine,1300
1989,Ukraine,600
1990,Ukraine,350
1991,Ukraine,150
1992,Ukraine,100
1993,Ukraine,2
1994,Ukraine,0
1995,Ukraine,58
1996,Ukraine,22
1997,Ukraine,593
1998,Ukraine,365
1999,Ukraine,55
2000,Ukraine,397
2001,Ukraine,349
2002,Ukraine,811
2003,Ukraine,1238
2004,Ukraine,2334
2005,Ukraine,2464
2006,Ukraine,1027
2007,Ukraine,2074
2008,Ukraine,5497
