Name,ID,edge1,edge2
KFC,619,90,479
Subway,618,90,505
Samin Nosrat,617,90,550
John DeLucie,616,90,580
Chef Aaron McCargo Jr,615,90,584
Chef Diego Lozano,614,90,597
Domino's Pizza,613,90,601
McDonald's,612,90,603
Robin Miller,611,90,611
Eduardo Palazuelos,610,90,616
Domino's Pizza,609,89,90
Pasqualino Barbasso,608,89,116
Chef Alex Levin,607,89,128
Pollo Campero El Salvador,606,89,136
foodpanda,605,89,151
Chef Jamie DeRosa,604,89,155
Elizabeth Karmel,603,89,182
McDonald's,602,89,217
Chef Marc Murphy,601,89,221
Anis Nabilah,600,89,245
James Martin,599,89,248
KFC,598,89,254
Aarón Sánchez,597,89,275
McDonald's,596,89,288
McDonald's Japan,595,89,300
Al Brown New Zealand Chef,594,89,317
Chef Richard Sandoval,593,89,324
Frantzén,592,89,340
Nando's,591,89,343
Norbert Tarayre,590,89,350
Five Guys,589,89,351
Thomas Keller,588,89,432
Eva Arguiñano,587,89,446
McDonald's,586,89,465
McDonald's,585,89,505
Julia Child,584,89,558
Bonefish Grill,583,89,569
RIBS - True American Barbecue,582,89,570
Kevin Dundon,581,89,584
Josh Elkin,580,89,597
McDonald's,579,89,601
The French Laundry,578,88,265
D'O - Davide Oldani,577,88,434
Susan Feniger,576,88,460
Chef Rubio,575,88,474
Emmi CAFFÈ LATTE,574,88,498
McDonald's,573,88,550
McDonald's,572,87,89
Bruno Oteiza,571,87,90
Kristen Kish,570,87,131
Roxanne Spruance,569,87,151
José Santaella,568,87,175
Ogro Jimmy,567,87,182
McDonald's,566,87,198
KFC,565,87,217
Outlander Kitchen,564,87,227
Donato De Santis,563,87,229
משה שגב / Moshe Segev,562,87,257
Brew Bistro and Lounge,561,87,265
CAKE-BOY,560,87,289
KFC,559,87,338
Chef Rick Moonen,558,87,340
Chef Maeve Rochford,557,87,350
Dunkin' Donuts,556,87,375
KFC,555,87,389
Chef Damaris Phillips,554,87,439
Chef Jimmy Boswell,553,87,479
YANNICK ALLENO OFFICIEL,552,87,576
McDonald's,551,87,580
Bryce Shuman,550,87,597
Maneet Chauhan,549,87,601
Dunkin' Donuts,548,87,611
Nando's,547,87,616
McDonald's,546,86,578
Domino's Pizza,545,85,292
Chef Sam Talbot,544,85,335
McDonald's,543,85,507
La Griglia,542,85,518
McDonald's,541,84,329
Chevys Fresh Mex,540,84,374
Wings,539,84,545
Bruno Barbieri,538,83,89
The Habit Burger Grill,537,83,254
Bradley Ogden,536,83,265
Jumia Food,535,83,288
Peohe's,534,83,317
Charley's Crab,533,83,465
McDonald's,532,82,171
Spike Mendelsohn,531,82,261
Relais & Châteaux,530,82,389
Gaston Acurio,529,82,409
Wichcraft,528,82,451
Nando's,527,82,584
Paul Bocuse,526,81,290
Taco Bell Kuwait,525,81,563
McDonald's,524,80,138
Burger King Malaysia,523,79,85
KFC,522,79,414
Dunkin' Donuts,521,79,491
T-rex Cafe,520,79,507
Thierry Rautureau,519,79,518
McDonald's,518,79,546
Guillaume Gomez,517,79,595
Domino's Pizza,516,78,154
McDonald's,515,78,158
"Mary Nolan, Bon Appétit Executive Chef",514,78,210
Lío,513,78,214
Seasons 52,512,78,252
Angel Leon Gonzalez,511,78,331
Stephanie Izard,510,78,437
Suzanne Goin,509,78,452
McDonald's,508,77,379
McDonald's,507,76,483
Martha Collison,506,75,75
René Redzepi,505,75,117
McDonald's Deutschland Karriere,504,75,119
Magnum,503,75,237
Nando's,502,75,274
Nando's,501,75,334
Destino Ibiza,500,75,400
Tom's Kitchen,499,75,516
Dani García,498,75,613
Jumia Food,497,72,240
Aquarium Restaurant - Nashville,496,72,269
Olive Garden México,495,71,265
KFC,494,71,495
Pedro Lambertini,493,70,72
Burger King México,492,70,89
McDonald's República Dominicana,491,70,90
RED Sushi and Hibachi Grill,490,70,102
Five Guys,489,70,107
McDonald's,488,70,116
McDonald's,487,70,170
Jumia Food,486,70,181
Taco Bell Cyprus,485,70,189
Andy Luotto,484,70,205
Chick-fil-A,483,70,229
Aliya LeeKong,482,70,235
Dina Nikolaou,481,70,244
McDonald's,480,70,248
Chef Derrick Fox,479,70,249
Jumia Food,478,70,254
Dunkin' Donuts,477,70,265
Christophe Adam,476,70,269
Steak 'n Shake,475,70,275
Quique Dacosta,474,70,288
Blue Ribbon Restaurants,473,70,317
Marc Veyrat,472,70,323
foodpanda,471,70,340
Pierre Sang Boyer Officiel,470,70,342
Germán Martitegui,469,70,383
PROPERCORN,468,70,403
KFC,467,70,434
KFC,466,70,439
Doug Adams,465,70,465
Cook with Chef Duminda,464,70,473
Emma Frisch,463,70,498
Chef Guy Martin,462,70,505
Emmi CAFFÈ LATTE,461,70,536
Karlos Arguiñano,460,70,550
Chef Clément,459,70,570
Christine Ha,458,70,577
McDonald's,457,70,593
Cook with Amber,456,70,599
Dale Talde,455,70,601
Zac Kara,454,70,611
Sam Choy,453,70,616
Meriwether's,452,69,253
Nikki Dinki,451,69,385
Christian Bau,450,69,498
Chef Pete Evans,449,68,70
McDonald's,448,68,198
Pollo Campero Guatemala,447,68,242
Virginia Willis,446,68,265
Marcel Vigneron,445,68,288
Roy's Restaurant,444,68,340
Noëmie Honiat Top Chef,443,68,505
Four Seasons Hotels and Resorts,442,68,603
Domino's Pizza,441,67,68
John Whaite,440,67,70
Donatella Arpaia,439,67,89
Nando's,438,67,90
Big Fish Seafood Bistro,437,67,102
Chef Andrew Gruel,436,67,107
Ricardo Cuisine,435,67,131
Chef Mark Garcia,434,67,146
Peter Kuruvita,433,67,181
Graham Elliot,432,67,183
Hardee's Pakistan,431,67,189
McDonald's,430,67,198
Jumia Food,429,67,229
McDonald's,428,67,245
Jumia Food,427,67,248
Ranveer Brar,426,67,249
Crystal Jade Singapore,425,67,253
McDonald's,424,67,254
KFC,423,67,265
DedeMed,422,67,288
McDonald's,421,67,289
Delverde,420,67,291
Melissa King,419,67,317
Chetna Makan,418,67,323
Princi,417,67,325
Magnum,416,67,338
KFC,415,67,340
麥當勞,414,67,351
Harlem EatUp,413,67,352
Papacho's,412,67,372
Chef Grace Ramirez,411,67,389
Noma,410,67,410
The Edgy Veg,409,67,416
Paul Hollywood,408,67,419
Gemma Stafford,407,67,434
Chef Todd Mohr,406,67,440
Pescaria,405,67,445
ChefAlexander,404,67,465
Christophe Bacquie,403,67,469
Second Floor Cafe 貳樓餐飲,402,67,498
Mathieu Pacaud,401,67,505
Domino's Pizza,400,67,531
Skinny Chef,399,67,550
KFC,398,67,570
My Cupcake Addiction,397,67,577
Veggie Grill,396,67,578
McDonald's,395,67,593
Steve Konopelski,394,67,603
foodpanda,393,67,611
Simon Bryant,392,66,141
Danny Smiles,391,65,185
Chope,390,65,240
Emily Ellyn,389,65,299
Valentin Neraudeau,388,65,333
Chope,387,65,450
Josh Marks,386,65,608
Juan Mari Arzak (Página oficial),385,64,498
Chef Michael Smith,384,63,45
Chef Michael Ferraro,383,63,139
Domino's Pizza,382,63,164
Luke Thomas,381,63,448
Taco Bell Rep Dom,380,63,504
Burger Lounge,379,63,518
Chef Adrianne,378,63,572
Alessandro Borghese,377,63,602
Pierre Gagnaire,376,62,169
Levi Eirinberg,375,62,193
JW Café - JW Marriott Hotel Hanoi,374,62,265
Chef Nina Compton,373,62,266
Johnny Iuzzini,372,62,269
Carl's Jr.,371,62,282
Cucina by Wolfgang Puck,370,62,285
Chili's Qatar,369,62,392
Taste Of Paris Official,368,62,449
FONDA MEXICANA,367,62,611
Michael Lomonaco,366,61,244
KFC,365,60,198
Colin Fassnidge,364,60,265
Jean-François Piège     -      Page Officielle,363,60,350
Jumia Food,362,60,389
Chef Ben Ford,361,60,439
Monti Carlo,360,59,116
Hearth,359,59,265
KFC,358,58,87
McDonald's,357,58,89
Sonia Peronaci,356,58,90
Michael White,355,58,265
Los Petersen Cocineros,354,58,302
Domino's Pizza Nigeria,353,58,350
Alain Ducasse,352,58,434
Ken Oringer,351,58,537
Chef Carla Hall,350,58,601
Harold Dieterle,349,58,603
McDonald's,348,58,611
McDonald's,347,58,616
Gino D'Acampo,346,57,148
Chuck Hughes,345,57,264
Iginio Massari,344,56,60
Hubert Keller,343,56,67
Sang Yoon,342,56,68
Dan Steph & Emmy,341,56,70
Eric Ripert,340,56,87
Carrabba's Italian Grill,339,56,89
Dean Sheremet,338,56,90
Alberto Chicote,337,56,102
Magnum,336,56,116
McDonald's,335,56,128
Domino's Pizza,334,56,130
Niko Romito,333,56,131
KFC,332,56,151
Bubba Gump Shrimp Co.,331,56,182
Jimmy John's,330,56,195
Domino's Pizza,329,56,198
McDonald's,328,56,217
McDonald's,327,56,229
Dairy Queen,326,56,235
Camille Becerra,325,56,238
Cesare Casella,324,56,244
Enrique Olvera,323,56,265
The Tuscan Gun,322,56,289
Eddie Jackson - FIT CHEF EDDIE,321,56,338
Susur Lee,320,56,340
KFC,319,56,345
Telepizza Guatemala,318,56,350
Jacques Pépin,317,56,351
McDonald's,316,56,359
McDonald's,315,56,375
UMass Dining,314,56,383
McDonald's,313,56,389
Duff Goldman,312,56,439
Domino's Australia,311,56,465
Dunkin' Coffee,310,56,479
Chef Claudia's Cocina,309,56,505
Opry City Stage,308,56,577
McDonald's,307,56,584
Nando's,306,56,597
Outback Steakhouse,305,56,601
Chili's Tunisie,304,56,603
Magnum,303,56,611
Chef G. Garvin,302,56,616
hellofood,301,56,617
Kunal Kapur,300,55,78
Cristian D'Elia,299,55,154
Barbie Marshall,298,55,158
McDonald's,297,55,210
KFC,296,55,214
foodpanda,295,55,252
Famous Dave's Bar-B-Que of America,294,55,437
Chef Sheldon Simeon,293,55,452
McDonald's,292,54,89
Chef Ben Churchill,291,54,265
Pablo Massey,290,54,275
Michel Nischan,289,54,536
Tom Colicchio,288,53,122
Magnum,287,52,113
Taste of London,286,52,494
Shane Delia,285,50,67
Domino's Pizza,284,50,70
Angelo Sosa,283,50,131
Karen Martini,282,50,171
Cindy Pawlcyn,281,50,182
Emmi CAFFÈ LATTE,280,50,183
Nando's,279,50,289
On The Border,278,50,330
Chef Rick Tramonto,277,50,340
KFC,276,50,389
Chef Charlie Palmer,275,50,483
Domino's Pizza,274,50,544
Ignacio Mattos,273,50,562
Francesco Sole,272,50,578
Claire Robinson,271,49,71
Delverde,270,49,188
Raymond Blanc,269,49,196
Tom Douglas Restaurants,268,49,293
Dunkin' Donuts,267,49,512
Magnum,266,48,164
Logan Junior Chef,265,48,518
Taco Bell,264,48,524
Domino's Guatemala,263,47,475
Amandine Chaignot,262,47,500
Nicko's Kitchen,261,47,508
Chef Dana Cohen HK,260,46,67
Taco Bell El Salvador,259,46,86
Christophe Michalak,258,46,110
Marc Forgione,257,46,317
McDonald's Paraguay,256,46,417
맥도날드 (McDonald's),255,46,550
Mei Lin,254,46,578
Narda Lepes,253,45,461
Charley's Crab,252,45,518
