Name,ID
Lee Anne Wong,0
Pat Neely,1
Ben Sargent & Dr. Klaw,2
Chef Carlo Cracco,3
George Pagonis,4
Magnum,5
Jumia Food,6
Roy Yamaguchi,7
Chili's Grill & Bar,8
José Andrés,9
Big Fernand,10
Taco Bell Panamá,11
Dunkin' Donuts,12
Eckart Witzigmann,13
Boston Market,14
Christina Tosi,15
Domino's Pizza,16
Ernst Knam,17
NishaMadhulika,18
Nutella Cafe Chicago,19
Maria Loi,20
Domino's Pizza,21
Delverde,22
Dean Fearing,23
Nando's,24
KFC,25
foodpanda,26
McDonald's Vietnam,27
Nando's,28
Bahama Breeze Island Grille,29
Nando's PERi-PERi,30
McDonald's,31
Sanjeev Kapoor,32
Lillie's Asian Cuisine,33
Chef Shirley Chung,34
Chef Robert Irvine,35
Ravintola Salve,36
Russell Jackson,37
McDonald's,38
Chef Mary Sue Milliken,39
Chef Hirohiko Shoda,40
Matt Moran,41
KFC,42
Roy Choi,43
Kirti Bhoutika,44
McDonald's,45
Per Se,46
Hard Rock Cafe Ibiza,47
McDonald's,48
Yard House,49
Chef Billy Parisi,50
KFC,51
KFC,52
Chef Cynthia Louise,53
Chef Casey Thompson,54
River Crab Blue Water Inn,55
Alex Guarnaschelli,56
Taco Bell Careers,57
Chef Jamie Gwen,58
Douglas Keane,59
Cat Cora,60
Éric Frechon,61
Manu Feildel,62
McDonald's,63
Diego Guerrero,64
Cuoco Filippo La Mantia,65
Emmi CAFFÈ LATTE,66
David Chang,67
Dan Kluger,68
Celler de Can Roca,69
Chef Daniel Boulud,70
Olive Garden,71
Relais & Châteaux,72
Chili's México,73
foodpanda,74
Domino's Pizza,75
Texas Roadhouse,76
Puesto,77
Gandy Dancer Saloon/Oyster Bar,78
McDonald's,79
Anjali Pathak,80
Maru Botana,81
Hilah Cooking,82
Gregory Gourdet,83
Domino's Mx,84
McDonald's,85
ad hoc & addendum,86
Geoffrey Zakarian,87
Martín Berasategui,88
Chef Kent Graham,89
Scott Conant,90
Crepes & Waffles,91
Joanna 劉韋彤,92
Guga Rocha,93
João Alcantara,94
Burger King Nederland,95
Luna Grill,96
Chef Kiran Jethwa,97
foodpanda,98
foodpanda,99
McDonald's,100
達美樂披薩,101
Amy Thielen,102
Carlos Bertolazzi,103
Juliana Lopez May,104
Dunkin' Donuts,105
Burger King Thailand,106
Daniel Humm,107
Nando's,108
Audra Morrice,109
Katie Pix,110
Justin Warner,111
Chef Ana Paula,112
KFC,113
SORTEDfood,114
タコベル ジャパン　Taco Bell Japan,115
Chef David Burke,116
Domino's Pizza,117
McDonald's,118
Domino's Pizza,119
Buddy Valastro,120
Simon Gault,121
Matthew Kenney,122
McDonald's,123
도미노피자(Dominostory),124
KFC,125
Nando's,126
McDonald's,127
Hugh Acheson,128
Morton's The Steakhouse,129
Tim Love,130
Dining with Flynn,131
Madison Cowan,132
Lindsay Ann Bakes,133
Felicitas Pizarro,134
Spago Las Vegas,135
Fabio Viviani,136
Domino's Pizza,137
Hari Ghotra,138
McDonald's,139
Clodagh McKenna,140
Emmi CAFFÈ LATTE,141
McDonald's,142
Donal Skehan,143
Domino's Pizza,144
Taco Bell UK,145
Alex Atala,146
Nando's,147
Chef Lorena Garcia,148
KFC,149
Domino's Pizza Türkiye,150
Anne Burrell,151
Domino's Pizza,152
Whataburger,153
Grand Concourse,154
Brooke Williamson,155
Roblé,156
Chef Michelle Bernstein,157
Big Fish Seafood Bistro,158
Leslie Gilliams,159
Franklin Becker,160
Jehangir,161
Cocina familiar con Javier Romero,162
Jumia Food,163
McDonald's,164
McDonald's,165
Manjula's Kitchen - Indian Vegetarian Recipes,166
Xi'an Famous Foods 西安名吃,167
Chef Natale Giunta,168
Gary Mehigan,169
Chef Francois Payard,170
Ochikeron,171
Rachel Allen,172
Chili's Beirut,173
Taco Bell Guatemala,174
Chef Marcela Valladolid,175
foodpanda / hellofood,176
Chef Rusty Hamlin,177
Red Lobster México,178
McDonald's,179
Cadillac Bar Houston,180
Bruno Ménard,181
Bobby Flay,182
Saransh Goila,183
Food Busker,184
Mirko Ronzoni,185
MASAの料理ABC,186
Delverde,187
Dick's Drive In Restaurant,188
Jose Garces,189
翠華餐廳 Tsui Wah Restaurant,190
McDonald's,191
Carl's Jr. NZ,192
Massimo Mele,193
KFC,194
Vegan Black Metal Chef,195
Eddie V's Prime Seafood,196
Johnny Prep,197
Chef Elizabeth Falkner,198
McDonald's,199
Krispy Kreme UK,200
Ben Ebbrell - Sorted Chef,201
Vicky Ratnani,202
Hakim Chajar,203
Acapulco,204
Gavin Kaysen,205
Blue Ribbon Fried Chicken,206
Paul Qui,207
Chef Sue Zemanick,208
Cadillac Bar Kemah,209
Gandy Dancer,210
Zoёs Kitchen,211
Taco Bell Costa Rica,212
Nando's,213
Chart House,214
El Torito,215
foodpanda - 空腹熊貓,216
Marcus Samuelsson,217
Dunkin' Donuts,218
Dunkin' Donuts,219
Jumia Food,220
Chef Jennifer Carroll,221
KFC,222
Grotto,223
Christian Le Squer,224
Francis Mallmann,225
Hardee's,226
Wolfgang Puck,227
Jock Zonfrillo,228
Chef Jet Tila,229
Nando's,230
Crystal Jade Palace - JW Marriott Hotel Hanoi,231
Santiago Giorgini,232
Franklin Barbecue,233
"Subway, Cayman Islands",234
Anne-Sophie Pic,235
Fast Ed,236
Domino's Pizza,237
Seamus Mullen,238
Chef Carmen Gonzalez,239
Antonino Cannavacciuolo,240
Taco Bell India,241
Alfred Portale,242
Chef Brian Duffy,243
Guy Savoy,244
Ludo Lefebvre,245
Bobby's Burger Palace,246
Red Robin Gourmet Burgers,247
Tom Aikens,248
Dunkin' Donuts,249
Nyesha Arrington,250
Alex French Guy Cooking,251
Charley's Crab,252
Narda Lepes,253
Mei Lin,254
맥도날드 (McDonald's),255
McDonald's Paraguay,256
Marc Forgione,257
Christophe Michalak,258
Taco Bell El Salvador,259
Chef Dana Cohen HK,260
Nicko's Kitchen,261
Amandine Chaignot,262
Domino's Guatemala,263
Taco Bell,264
