Name,ID,edge1,edge2
Lee Anne Wong,0,0,603
Pat Neely,1,0,555
Ben Sargent & Dr. Klaw,2,0,398
Chef Carlo Cracco,3,0,276
George Pagonis,4,0,132
Magnum,5,0,58
Jumia Food,6,1,611
Roy Yamaguchi,7,1,265
Chili's Grill & Bar,8,2,345
José Andrés,9,2,265
Big Fernand,10,2,182
Taco Bell Panamá,11,3,608
Dunkin' Donuts,12,3,484
Eckart Witzigmann,13,3,450
Boston Market,14,3,377
Christina Tosi,15,3,352
Domino's Pizza,16,3,299
Ernst Knam,17,3,228
NishaMadhulika,18,3,185
Nutella Cafe Chicago,19,3,65
Maria Loi,20,3,40
Domino's Pizza,21,4,336
Delverde,22,4,287
Dean Fearing,23,4,265
Nando's,24,4,254
KFC,25,5,503
foodpanda,26,6,518
McDonald's Vietnam,27,6,486
Nando's,28,6,478
Bahama Breeze Island Grille,29,6,429
Nando's PERi-PERi,30,6,163
McDonald's,31,7,583
Sanjeev Kapoor,32,7,444
Lillie's Asian Cuisine,33,7,339
Chef Shirley Chung,34,7,305
Chef Robert Irvine,35,7,293
Ravintola Salve,36,7,265
Russell Jackson,37,7,35
McDonald's,38,8,434
Chef Mary Sue Milliken,39,8,369
Chef Hirohiko Shoda,40,8,278
Matt Moran,41,8,98
KFC,42,8,73
Roy Choi,43,9,611
Kirti Bhoutika,44,9,593
McDonald's,45,9,570
Per Se,46,9,550
Hard Rock Cafe Ibiza,47,9,498
McDonald's,48,9,465
Yard House,49,9,446
Chef Billy Parisi,50,9,434
KFC,51,9,351
KFC,52,9,340
Chef Cynthia Louise,53,9,317
Chef Casey Thompson,54,9,289
River Crab Blue Water Inn,55,9,288
Alex Guarnaschelli,56,9,265
Taco Bell Careers,57,9,254
Chef Jamie Gwen,58,9,249
Douglas Keane,59,9,248
Cat Cora,60,9,229
Éric Frechon,61,9,206
Manu Feildel,62,9,189
McDonald's,63,9,131
Diego Guerrero,64,9,107
Cuoco Filippo La Mantia,65,9,90
Emmi CAFFÈ LATTE,66,9,89
David Chang,67,9,67
Dan Kluger,68,9,56
Celler de Can Roca,69,9,23
Chef Daniel Boulud,70,9,15
Olive Garden,71,10,393
Relais & Châteaux,72,10,258
Chili's México,73,11,485
foodpanda,74,11,380
Domino's Pizza,75,11,264
Texas Roadhouse,76,11,259
Puesto,77,11,212
Gandy Dancer Saloon/Oyster Bar,78,11,174
McDonald's,79,12,618
Anjali Pathak,80,12,548
Maru Botana,81,12,310
Hilah Cooking,82,13,352
Gregory Gourdet,83,14,326
Domino's Mx,84,14,264
McDonald's,85,15,505
ad hoc & addendum,86,15,454
Geoffrey Zakarian,87,15,432
Martín Berasategui,88,15,340
Chef Kent Graham,89,15,265
Scott Conant,90,15,70
Crepes & Waffles,91,15,67
Joanna 劉韋彤,92,15,56
Guga Rocha,93,15,43
João Alcantara,94,16,613
Burger King Nederland,95,16,545
Luna Grill,96,16,516
Chef Kiran Jethwa,97,16,466
foodpanda,98,16,400
foodpanda,99,16,374
McDonald's,100,16,334
達美樂披薩,101,16,274
Amy Thielen,102,16,237
Carlos Bertolazzi,103,16,119
Juliana Lopez May,104,16,117
Dunkin' Donuts,105,16,75
Burger King Thailand,106,17,608
Daniel Humm,107,17,450
Nando's,108,17,299
Audra Morrice,109,17,185
Katie Pix,110,17,65
Justin Warner,111,18,265
Chef Ana Paula,112,19,572
KFC,113,20,481
SORTEDfood,114,20,355
タコベル ジャパン　Taco Bell Japan,115,20,324
Chef David Burke,116,20,242
Domino's Pizza,117,20,238
McDonald's,118,20,160
Domino's Pizza,119,21,516
Buddy Valastro,120,21,441
Simon Gault,121,21,334
Matthew Kenney,122,21,329
McDonald's,123,22,420
도미노피자(Dominostory),124,22,270
KFC,125,22,187
Nando's,126,22,104
McDonald's,127,22,22
Hugh Acheson,128,23,434
Morton's The Steakhouse,129,23,343
Tim Love,130,23,340
Dining with Flynn,131,23,288
Madison Cowan,132,23,277
Lindsay Ann Bakes,133,23,257
Felicitas Pizarro,134,23,227
Spago Las Vegas,135,23,182
Fabio Viviani,136,23,157
Domino's Pizza,137,23,128
Hari Ghotra,138,23,67
McDonald's,139,23,58
Clodagh McKenna,140,23,54
Emmi CAFFÈ LATTE,141,24,591
McDonald's,142,24,547
Donal Skehan,143,24,502
Domino's Pizza,144,24,501
Taco Bell UK,145,24,306
Alex Atala,146,24,230
Nando's,147,25,363
Chef Lorena Garcia,148,26,230
KFC,149,27,424
Domino's Pizza Türkiye,150,28,527
Anne Burrell,151,28,230
Domino's Pizza,152,28,147
Whataburger,153,29,49
Grand Concourse,154,30,126
Brooke Williamson,155,31,595
Roblé,156,31,546
Chef Michelle Bernstein,157,31,543
Big Fish Seafood Bistro,158,31,524
Leslie Gilliams,159,31,518
Franklin Becker,160,31,515
Jehangir,161,31,508
Cocina familiar con Javier Romero,162,31,507
Jumia Food,163,31,491
McDonald's,164,31,488
McDonald's,165,31,449
Manjula's Kitchen - Indian Vegetarian Recipes,166,31,424
Xi'an Famous Foods 西安名吃,167,31,357
Chef Natale Giunta,168,31,327
Gary Mehigan,169,31,315
Chef Francois Payard,170,31,285
Ochikeron,171,31,269
Rachel Allen,172,31,266
Chili's Beirut,173,31,193
Taco Bell Guatemala,174,31,179
Chef Marcela Valladolid,175,31,169
foodpanda / hellofood,176,31,142
Chef Rusty Hamlin,177,31,63
Red Lobster México,178,31,48
McDonald's,179,31,41
Cadillac Bar Houston,180,32,611
Bruno Ménard,181,32,581
Bobby Flay,182,32,364
Saransh Goila,183,32,300
Food Busker,184,32,265
Mirko Ronzoni,185,32,183
MASAの料理ABC,186,32,159
Delverde,187,32,89
Dick's Drive In Restaurant,188,34,419
Jose Garces,189,34,373
翠華餐廳 Tsui Wah Restaurant,190,34,265
McDonald's,191,34,254
Carl's Jr. NZ,192,34,208
Massimo Mele,193,34,89
KFC,194,35,618
Vegan Black Metal Chef,195,35,615
Eddie V's Prime Seafood,196,35,611
Johnny Prep,197,35,601
Chef Elizabeth Falkner,198,35,597
McDonald's,199,35,536
Krispy Kreme UK,200,35,439
Ben Ebbrell - Sorted Chef,201,35,389
Vicky Ratnani,202,35,383
Hakim Chajar,203,35,338
Acapulco,204,35,289
Gavin Kaysen,205,35,265
Blue Ribbon Fried Chicken,206,35,243
Paul Qui,207,35,198
Chef Sue Zemanick,208,35,195
Cadillac Bar Kemah,209,35,131
Gandy Dancer,210,35,90
Zoёs Kitchen,211,35,89
Taco Bell Costa Rica,212,35,87
Nando's,213,35,58
Chart House,214,35,56
El Torito,215,36,490
foodpanda - 空腹熊貓,216,37,389
Marcus Samuelsson,217,38,518
Dunkin' Donuts,218,39,603
Dunkin' Donuts,219,39,576
Jumia Food,220,39,509
Chef Jennifer Carroll,221,40,538
KFC,222,40,484
Grotto,223,40,352
Christian Le Squer,224,40,344
Francis Mallmann,225,40,333
Hardee's,226,40,240
Wolfgang Puck,227,41,611
Jock Zonfrillo,228,41,594
Chef Jet Tila,229,41,465
Nando's,230,41,434
Crystal Jade Palace - JW Marriott Hotel Hanoi,231,41,397
Santiago Giorgini,232,41,321
Franklin Barbecue,233,41,282
"Subway, Cayman Islands",234,41,265
Anne-Sophie Pic,235,41,193
Fast Ed,236,41,121
Domino's Pizza,237,41,109
Seamus Mullen,238,41,62
Chef Carmen Gonzalez,239,42,467
Antonino Cannavacciuolo,240,43,577
Taco Bell India,241,43,505
Alfred Portale,242,43,360
Chef Brian Duffy,243,43,340
Guy Savoy,244,43,265
Ludo Lefebvre,245,43,253
Bobby's Burger Palace,246,43,229
Red Robin Gourmet Burgers,247,43,102
Tom Aikens,248,43,83
Dunkin' Donuts,249,43,67
Nyesha Arrington,250,43,39
Alex French Guy Cooking,251,44,265
Charley's Crab,252,45,524
Narda Lepes,253,45,518
Mei Lin,254,45,461
맥도날드 (McDonald's),255,46,578
McDonald's Paraguay,256,46,550
Marc Forgione,257,46,417
Christophe Michalak,258,46,317
Taco Bell El Salvador,259,46,110
Chef Dana Cohen HK,260,46,86
Nicko's Kitchen,261,46,67
Amandine Chaignot,262,47,508
Domino's Guatemala,263,47,500
Taco Bell,264,47,475
Logan Junior Chef,265,48,524
Magnum,266,48,518
Dunkin' Donuts,267,48,164
Tom Douglas Restaurants,268,49,512
Raymond Blanc,269,49,293
Delverde,270,49,196
Claire Robinson,271,49,188
Francesco Sole,272,49,71
Ignacio Mattos,273,50,578
Domino's Pizza,274,50,562
Chef Charlie Palmer,275,50,544
KFC,276,50,483
Chef Rick Tramonto,277,50,389
On The Border,278,50,340
Nando's,279,50,330
Emmi CAFFÈ LATTE,280,50,289
Cindy Pawlcyn,281,50,183
Karen Martini,282,50,182
Angelo Sosa,283,50,171
Domino's Pizza,284,50,131
Shane Delia,285,50,70
Taste of London,286,50,67
Magnum,287,52,494
Tom Colicchio,288,52,113
Michel Nischan,289,53,122
Pablo Massey,290,54,536
Chef Ben Churchill,291,54,275
McDonald's,292,54,265
Chef Sheldon Simeon,293,54,89
Famous Dave's Bar-B-Que of America,294,55,452
foodpanda,295,55,437
KFC,296,55,252
McDonald's,297,55,214
Barbie Marshall,298,55,210
Cristian D'Elia,299,55,158
Kunal Kapur,300,55,154
hellofood,301,55,78
Chef G. Garvin,302,56,617
Magnum,303,56,616
Chili's Tunisie,304,56,611
Outback Steakhouse,305,56,603
Nando's,306,56,601
McDonald's,307,56,597
Opry City Stage,308,56,584
Chef Claudia's Cocina,309,56,577
Dunkin' Coffee,310,56,505
Domino's Australia,311,56,479
Duff Goldman,312,56,465
